Date/Time, Time Diff, Byte Counter, Byte Diff Counter, Packet Counter, Header Info, 
2024-04-08 23:32:17.738025, 0:00:00.000008, 17706, 65, 266, SLAVE_1, 
2024-04-08 23:32:17.738033, 0:00:00.000007, 17714, 8, 267, MASTER_2, 
2024-04-08 23:32:17.738040, 0:00:00.000008, 17903, 189, 268, SLAVE_2, 
2024-04-08 23:32:17.738048, 0:00:00.000007, 17911, 8, 269, MASTER_1, 
2024-04-08 23:32:17.738055, 0:00:00.000008, 17976, 65, 270, SLAVE_1, 
2024-04-08 23:32:17.738063, 0:00:00.000007, 17984, 8, 271, MASTER_2, 
2024-04-08 23:32:17.738070, 0:00:00.000008, 18173, 189, 272, SLAVE_2, 
2024-04-08 23:32:17.738077, 0:00:00.000007, 18181, 8, 273, MASTER_1, 
2024-04-08 23:32:17.738084, 0:00:00.000007, 18246, 65, 274, SLAVE_1, 
2024-04-08 23:32:17.738092, 0:00:00.000008, 18254, 8, 275, MASTER_2, 
2024-04-08 23:32:17.738100, 0:00:00.000007, 18443, 189, 276, SLAVE_2, 
2024-04-08 23:32:17.738107, 0:00:00.000007, 18451, 8, 277, MASTER_1, 
2024-04-08 23:32:17.738114, 0:00:00.000008, 18516, 65, 278, SLAVE_1, 
2024-04-08 23:32:17.738121, 0:00:00.000007, 18524, 8, 279, MASTER_2, 
2024-04-08 23:32:17.738129, 0:00:00.000008, 18713, 189, 280, SLAVE_2, 
2024-04-08 23:32:17.738136, 0:00:00.000007, 18721, 8, 281, MASTER_1, 
2024-04-08 23:32:17.738143, 0:00:00.000007, 18786, 65, 282, SLAVE_1, 
2024-04-08 23:32:17.738151, 0:00:00.000007, 18794, 8, 283, MASTER_2, 
2024-04-08 23:32:17.738158, 0:00:00.000008, 18983, 189, 284, SLAVE_2, 
2024-04-08 23:32:17.738165, 0:00:00.000007, 18991, 8, 285, MASTER_1, 
2024-04-08 23:32:17.738173, 0:00:00.000007, 19056, 65, 286, SLAVE_1, 
2024-04-08 23:32:17.738180, 0:00:00.000008, 19064, 8, 287, MASTER_2, 
2024-04-08 23:32:17.738188, 0:00:00.000007, 19253, 189, 288, SLAVE_2, 
2024-04-08 23:32:17.738195, 0:00:00.000007, 19261, 8, 289, MASTER_1, 
2024-04-08 23:32:17.738202, 0:00:00.000008, 19326, 65, 290, SLAVE_1, 
2024-04-08 23:32:17.738210, 0:00:00.000007, 19334, 8, 291, MASTER_2, 
2024-04-08 23:32:17.738217, 0:00:00.000008, 19523, 189, 292, SLAVE_2, 
2024-04-08 23:32:17.738224, 0:00:00.000007, 19531, 8, 293, MASTER_1, 
2024-04-08 23:32:17.738232, 0:00:00.000008, 19596, 65, 294, SLAVE_1, 
2024-04-08 23:32:17.738239, 0:00:00.000007, 19604, 8, 295, MASTER_2, 
2024-04-08 23:32:17.738247, 0:00:00.000007, 19793, 189, 296, SLAVE_2, 
2024-04-08 23:32:17.738254, 0:00:00.000007, 19801, 8, 297, MASTER_1, 
2024-04-08 23:32:17.738261, 0:00:00.000008, 19866, 65, 298, SLAVE_1, 
